"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"51","5","5415","","35211","1","","267",""
"51","9","5416","","35211","1","","267",""
"51","10","5417","","35211","1","","267",""
"51","4","5418","","35212","1","","163",""
"51","3","5419","","35212","1","","163",""
"53","6","542","","56102","0","","18",""
"51","2","5420","","35212","1","","163",""
"51","1","5421","","35212","1","","163",""
"51","8","5422","","35212","1","","163",""
"51","7","5423","","35212","1","","163",""
"51","6","5424","","35212","1","","163",""
"89","6","5425","","2101","0","","410",""
"89","7","5426","","2101","0","","410",""
"89","10","5427","","2113","0","","410",""
"89","9","5428","","2113","0","","410",""
"89","5","5429","","2113","0","","410",""
"53","3","543","","56103","0","","18",""
"89","6","5430","","2113","0","","410",""
"89","7","5431","","2113","0","","410",""
"89","8","5432","","2113","0","","410",""
"89","1","5433","","2113","0","","410",""
"42","10","5434","","20106","0","","254",""
"42","4","5435","","20107","0","","254",""
"42","3","5436","","20107","0","","254",""
"42","2","5437","","20107","0","","254",""
"51","1","5438","","35202","1","","163",""
"51","8","5439","","35202","1","","163",""
"53","7","544","","56102","0","","18",""
"51","7","5440","","35202","1","","163",""
"51","6","5441","","35202","1","","163",""
"3","4","5442","","1130","1","","233",""
"3","3","5443","","1130","1","","233",""
"3","2","5444","","1130","1","","233",""
"19","70","5445","","8042","1","","70",""
"108","70","5446","","12021","0","","188",""
"19","8","5447","","8046","1","","244",""
"19","7","5448","","8046","1","","244",""
"21","4","5449","","65802","1","","478",""
"53","4","545","","56106","0","","18",""
"21","6","5450","","65802","1","","478",""
"21","5","5451","","65802","1","","478",""
"21","9","5452","","65802","1","","478",""
"57","3","5453","","52111","0","","475",""
"57","2","5454","","52111","0","","475",""
"57","1","5455","","52111","0","","475",""
"57","8","5456","","52111","0","","475",""
"57","7","5457","","52111","0","","475",""
"113","9","5458","","54801","1","","482",""
"113","10","5459","","54801","1","","482",""
"53","8","546","","56102","0","","18",""
"113","6","5460","","54802","1","","334",""
"113","10","5461","","54802","1","","334",""
"113","4","5462","","54803","1","","535",""
"113","6","5463","","54803","1","","535",""
"113","5","5464","","54803","1","","535",""
"113","9","5465","","54803","1","","535",""
"113","10","5466","","54803","1","","535",""
"113","4","5467","","54804","1","","536",""
"113","6","5468","","54804","1","","536",""
"113","5","5469","","54804","1","","536",""
"15","10","547","","82705","0","","180",""
"113","9","5470","","54804","1","","536",""
"113","10","5471","","54804","1","","536",""
"113","4","5472","","54805","1","","22",""
"113","6","5473","","54805","1","","22",""
"113","5","5474","","54801","1","","482",""
"113","5","5475","","54805","1","","22",""
"113","9","5476","","54805","1","","22",""
"113","10","5477","","54805","1","","22",""
"24","30","5478","","36102","0","","132",""
"24","14","5479","","36102","0","","132",""
"15","5","548","","82705","0","","180",""
"26","4","5480","","53105","0","","99",""
"26","2","5481","","53108","0","","99",""
"26","1","5482","","53108","0","","99",""
"26","8","5483","","53108","0","","99",""
"40","10","5484","","6035","0","","86",""
"3","6","5485","","1015","0","","231",""
"3","7","5486","","1031","0","","159",""
"3","4","5487","","1055","0","","159",""
"3","3","5488","","1055","0","","159",""
"3","2","5489","","1055","0","","159",""
"15","6","549","","82705","0","","180",""
"3","1","5490","","1055","0","","159",""
"3","8","5491","","1055","0","","159",""
"3","7","5492","","1055","0","","159",""
"3","6","5493","","1055","0","","159",""
"47","19","5494","","31201","1","","11",""
"47","30","5495","","31201","1","","11",""
"47","14","5496","","31201","1","","11",""
"93","5","5497","","441","0","","286",""
"93","9","5498","","441","0","","286",""
"93","18","5499","","441","0","","286",""
"82","4","55","","81","0","","301",""
"15","4","550","","82706","0","","681",""
"42","3","5500","","20103","0","","254",""
"42","2","5501","","20103","0","","254",""
"42","1","5502","","20103","0","","254",""
"42","8","5503","","20103","0","","254",""
"42","7","5504","","20103","0","","254",""
"42","6","5505","","20103","0","","254",""
"42","5","5506","","20103","0","","254",""
"42","9","5507","","20103","0","","254",""
"42","10","5508","","20103","0","","254",""
"42","4","5509","","20104","0","","254",""
"15","6","551","","82706","0","","681",""
"42","3","5510","","20104","0","","254",""
"51","5","5511","","35202","1","","163",""
"51","9","5512","","35202","1","","163",""
"51","10","5513","","35202","1","","163",""
"51","4","5514","","35203","1","","267",""
"24","2","5515","","36109","0","","132",""
"24","13","5516","","36109","0","","132",""
"24","12","5517","","36109","0","","132",""
"24","13","5518","","36203","1","","57",""
"24","3","5519","","36203","1","","57",""
"15","5","552","","82706","0","","681",""
"24","12","5520","","36203","1","","57",""
"24","11","5521","","36203","1","","57",""
"24","3","5522","","36201","1","","57",""
"24","2","5523","","36201","1","","57",""
"24","13","5524","","36201","1","","57",""
"24","12","5525","","36201","1","","57",""
"24","11","5526","","36201","1","","57",""
"40","4","5527","","6011","0","","174",""
"40","3","5528","","6011","0","","174",""
"40","2","5529","","6011","0","","174",""
"15","9","553","","82706","0","","681",""
"40","1","5530","","6011","0","","174",""
"40","17","5531","","6162","1","","247",""
"40","16","5532","","6010","1","","247",""
"40","16","5533","","6030","1","","247",""
"18","4","5534","","5029","0","","173",""
"18","3","5535","","5029","0","","173",""
"18","2","5536","","5029","0","","173",""
"75","41","5537","","30891","1","","219",""
"51","8","5538","","35109","0","","64",""
"51","7","5539","","35109","0","","64",""
"15","10","554","","82706","0","","681",""
"51","6","5540","","35109","0","","64",""
"51","5","5541","","35109","0","","64",""
"51","9","5542","","35109","0","","64",""
"51","10","5543","","35109","0","","64",""
"51","4","5544","","35110","0","","63",""
"100","4","5545","","77702","0","","542",""
"100","6","5546","","77702","0","","542",""
"100","5","5547","","77702","0","","542",""
"100","9","5548","","77702","0","","542",""
"100","10","5549","","77702","0","","542",""
"15","4","555","","82808","1","","141",""
"51","17","5550","","35601","1","","267",""
"56","5","5551","","41202","1","","12",""
"56","9","5552","","41202","1","","12",""
"56","10","5553","","41202","1","","12",""
"56","4","5554","","41205","1","","12",""
"56","7","5555","","41202","1","","12",""
"24","2","5556","","36203","1","","57",""
"111","9","5557","","71","0","","303",""
"111","10","5558","","71","0","","303",""
"113","4","5559","","54201","1","","422",""
"15","6","556","","82808","1","","141",""
"113","3","5560","","54201","1","","422",""
"113","2","5561","","54201","1","","422",""
"113","1","5562","","54201","1","","422",""
"113","8","5563","","54201","1","","422",""
"113","7","5564","","54201","1","","422",""
"113","6","5565","","54201","1","","422",""
"108","70","5566","","12024","1","","186",""
"108","17","5567","","12024","1","","186",""
"75","10","5568","","30805","1","","82",""
"75","2","5569","","30105","0","","37",""
"15","5","557","","82808","1","","141",""
"75","4","5570","","30105","0","","37",""
"75","3","5571","","30105","0","","37",""
"75","2","5572","","30106","0","","37",""
"117","6","5573","","561","0","","277",""
"75","10","5574","","30709","0","","200",""
"75","4","5575","","30711","0","","79",""
"75","6","5576","","30711","0","","79",""
"75","5","5577","","30711","0","","79",""
"75","9","5578","","30711","0","","79",""
"75","10","5579","","30711","0","","79",""
"20","2","558","","32207","1","","96",""
"40","8","5580","","6137","0","","174",""
"40","7","5581","","6137","0","","174",""
"40","6","5582","","6137","0","","174",""
"40","5","5583","","6137","0","","174",""
"40","9","5584","","6137","0","","174",""
"40","10","5585","","6137","0","","174",""
"28","14","5586","","42108","0","","331",""
"28","4","5587","","42201","1","","332",""
"28","3","5588","","42201","1","","332",""
"28","2","5589","","42201","1","","332",""
"20","1","559","","32207","1","","96",""
"28","3","5590","","42204","1","","332",""
"28","2","5591","","42204","1","","332",""
"28","1","5592","","42204","1","","332",""
"28","8","5593","","42204","1","","332",""
"28","7","5594","","42204","1","","332",""
"28","1","5595","","42201","1","","332",""
"28","8","5596","","42201","1","","332",""
"28","7","5597","","42201","1","","332",""
"28","6","5598","","42201","1","","332",""
"28","5","5599","","42201","1","","332",""
"46","63","56","","75202","1","","454",""
"15","10","560","","82807","1","","141",""
"28","9","5600","","42201","1","","332",""
"28","10","5601","","42201","1","","332",""
"46","66","5602","","75206","1","","454",""
"14","3","5603","","76101","0","","122",""
"14","2","5604","","76101","0","","122",""
"14","1","5605","","76101","0","","122",""
"14","8","5606","","76101","0","","122",""
"89","8","5607","","2013","0","","410",""
"89","4","5608","","2101","0","","410",""
"89","5","5609","","2013","0","","410",""
"101","15","561","","22102","0","","97",""
"89","2","5610","","2005","0","","410",""
"89","4","5611","","2013","0","","410",""
"89","3","5612","","2005","0","","410",""
"42","4","5613","","20103","0","","254",""
"42","2","5614","","20104","0","","254",""
"42","1","5615","","20104","0","","254",""
